コード,銘柄名,業種
AAPL,"アップル
Apple Inc.","インターネット
デジタル家電製品"
AMGN,"アムジェン
Amgen Inc.",バイオ医薬品
AMZN,"アマゾン・ドット・コム
Amazon.com, Inc.",インターネットストア
AXP,"アメリカン・エクスプレス
American Express Company",クレジットカード
BA,"ボーイング
The Boeing Company",航空宇宙機器
CAT,"キャタピラー
Caterpillar Inc.",建設機器・鉱山用機械
CRM,"セールスフォース
Salesforce, Inc.","クラウドベース
顧客関係管理システム"
CSCO,"シスコ・システムズ
Cisco Systems, Inc.","コンピュータ
ネットワーク機器"
CVX,"シェブロン
Chevron Corporation",石油 & ガス
DIS,"ウォルト・ディズニー
The Walt Disney Company",エンターテインメント
GS,"ゴールドマン・サックス・グループ
The Goldman Sachs Group, Inc.",投資銀行
HD,"ホーム・デポ
The Home Depot, Inc.",ホームセンター
HON,"ハネウェル・インターナショナル
Honeywell International Inc.","電子制御システム
自動化機器"
IBM,"IBM
International Business Machines Corporation",情報システムサービス
JNJ,"ジョンソン・エンド・ジョンソン
Johnson & Johnson","製薬・医療機器
ヘルスケア"
JPM,"JPモルガン・チェース
JPMorgan Chase & Co.",銀行
KO,"コカ・コーラ
The Coca-Cola Company",清涼飲料
MCD,"マクドナルド
McDonald's Corporation","ファーストフード
チェーン"
MMM,"スリーエム
3M Company","化学・電気素材
メーカー"
MRK,"メルク
Merck & Co., Inc.",製薬
MSFT,"マイクロソフト
Microsoft Corporation","アプリケーション
ソフトウェア"
NKE,"ナイキ
NIKE, Inc.",スポーツ用品
NVDA,"エヌビディア
NVIDIA Corporation","GPU
半導体メーカー"
PG,"P&G
The Procter & Gamble Company",一般消費財メーカー
SHW,"シャーウィンウィリアムズ
The Sherwin-Williams Company",塗料・コーティング
TRV,"トラベラーズ
The Travelers Companies, Inc.",損害保険
UNH,"ユナイテッドヘルス・グループ
UnitedHealth Group Incorporated","医療保険
医療サービス"
V,"ビザ
Visa Inc.",クレジットカード
VZ,"ベライゾン・コミュニケーションズ
Verizon Communications Inc.","通信技術
ソリューション"
WMT,"ウォルマート
Walmart Inc.","ディスカウントストア
チェーン"
