コード,銘柄名,業種
A,"アジレント・テクノロジー
Agilent Technologies, Inc.","化学分析
電子計測機器"
AAPL,"アップル
Apple Inc.","インターネット
デジタル家電製品"
ABBV,"アッヴィ
AbbVie Inc.",バイオ医薬品
ABNB,"エアビーアンドビー
Airbnb, Inc.",民宿仲介サービス
ABT,"アボット・ラボラトリーズ
Abbott Laboratories",製薬
ACGL,"アーチ・キャピタル・グループ
Arch Capital Group Ltd.","保険・再保険
住宅ローン保険"
ACN,"アクセンチュア
Accenture plc","コンサルティング
サービス"
ADBE,"アドビ
Adobe Inc.","ソフトウェア
クラウドサービス"
ADI,"アナログ・デバイセズ
Analog Devices, Inc.","半導体
デバイスメーカー"
ADM,"アーチャー・ダニエルズ・ミッドランド
Archer-Daniels-Midland Company","農産物加工
食品原料メーカー"
ADP,"オートマチック・データ・プロセシング
Automatic Data Processing, Inc.","人事管理ソフトウェア
サービス"
ADSK,"オートデスク
Autodesk, Inc.","3D図面作成
ソフトウェア"
AEE,"アメレン
Ameren Corporation",電力 & ガス
AEP,"アメリカン・エレクトリック・パワー
American Electric Power Company, Inc.",電力持株会社
AES,"AES
The AES Corporation",電力持株会社
AFL,"アフラック
Aflac Incorporated",がん・医療・生命保険
AIG,"アメリカン・インターナショナル・グループ
American International Group, Inc.",損害・生命保険
AIZ,"アシュラント
Assurant, Inc.",損害保険
AJG,"アーサー・J・ギャラガー
Arthur J. Gallagher & Co.","保険仲介
コンサルサービス"
AKAM,"アカマイ・テクノロジーズ
Akamai Technologies, Inc.","CDN
クラウドセキュリティー"
ALB,"アルベマール
Albemarle Corporation","リチウム・臭素
精製用触媒"
ALGN,"アライン・テクノロジー
Align Technology, Inc.","歯列矯正システム
マウスピース"
ALL,"オールステート
The Allstate Corporation",損害保険
ALLE,"アレジオン
Allegion plc",ドアセキュリティー
AMAT,"アプライド・マテリアルズ
Applied Materials, Inc.","半導体
製造装置メーカー"
AMCR,"アムコア
Amcor plc",包装資材メ ーカー
AMD,"アドバンスト・マイクロ・デバイセズ
Advanced Micro Devices, Inc.",半導体メーカー
AME,"アメテック
AMETEK, Inc.","電子機器
電気機械装置メーカー"
AMGN,"アムジェン
Amgen Inc.",バイオ医薬品
AMP,"アメリプライズ・ファイナンシャル
Ameriprise Financial, Inc.","資産運用
金融サービス"
AMT,"アメリカン・タワー
American Tower Corporation",REIT - 特殊
AMZN,"アマゾン・ドット・コム
Amazon.com, Inc.",インターネットストア
ANET,"アリスタ・ネットワークス
Arista Networks, Inc.","クラウド
ネットワーク製品"
AON,"エーオン
Aon plc",保険・再保険
AOS,"A.O.スミス
A. O. Smith Corporation",給湯器・ボイラー
APA,"APA
APA Corporation",独立系石油 & ガス
APD,"エアー・プロダクツ・アンド・ケミカルズ
Air Products and Chemicals, Inc.",産業用ガス・化学薬品
APH,"アンフェノール
Amphenol Corporation","インターコネクト
製品メーカー"
APO,"アポロ・グローバル・マネジメント
Apollo Global Management, Inc.","オルタナ資産運用
退職金サービス"
APTV,"アプティブ
Aptiv plc",自動運転支援システム
ARE,"アレクサンドリア・リアル・エステイト・エクイティーズ
Alexandria Real Estate Equities, Inc.",REIT - オフィス
ATO,"アトモス・エナジー
Atmos Energy Corporation",天然ガス
AVB,"アバロンベイ・コミュニティーズ
AvalonBay Communities, Inc.",REIT - 住宅
AVGO,"ブロードコム
Broadcom Inc.","半導体
インフラソフトウェア"
AVY,"エイブリー・デニソン
Avery Dennison Corporation",感圧粘着ラベル
AWK,"アメリカン・ウォーター・ワークス
American Water Works Company, Inc.",上下水道サービス
AXON,"アクソン・エンタープライズ
Axon Enterprise, Inc.",テーザー銃
AXP,"アメリカン・エキスプレス
American Express Company",クレジットカード
AZO,"オートゾーン
AutoZone, Inc.","アフターマーケット
自動車部品販売"
