コード,銘柄名,業種,テーマ
1332.T,ニッスイ,水産,
1605.T,ＩＮＰＥＸ,鉱業,インフレ耐性・資源
1721.T,コムシスホールディングス,建設,
1801.T,大成建設,建設,データセンター、サーバー冷却・液浸冷却
1802.T,大林組,建設,
1803.T,清水建設,建設,
1808.T,長谷工コーポレーション,建設,
1812.T,鹿島建設,建設,
1925.T,大和ハウス工業,建設,高配当・バリュー
1928.T,積水ハウス,建設,
1963.T,日揮ホールディングス,建設,
2002.T,日清製粉グループ本社,食品,ディフェンシブ・食品
2269.T,明治ホールディングス,食品,ディフェンシブ・食品
2282.T,日本ハム,食品,
2413.T,エムスリー,サービス,
2432.T,ディー・エヌ・エー,サービス,
2501.T,サッポロホールディングス,食品,
2502.T,アサヒグループホールディングス,食品,ディフェンシブ・食品
2503.T,キリンホールディングス,食品,高配当・バリュー、ディフェンシブ・食品
2768.T,双日,商社,
2801.T,キッコーマン,食品,
2802.T,味の素,食品,ディフェンシブ・食品
2871.T,ニチレイ,食品,
2914.T,日本たばこ産業,食品,高配当・バリュー
3086.T,Ｊ．フロントリテイリング,小売業,
3092.T,ＺＯＺＯ,小売業,
3099.T,三越伊勢丹ホールディングス,小売業,インバウンド・旅行
3289.T,東急不動産ホールディングス,不動産,
3382.T,セブン＆アイ・ホールディングス,小売業,
3401.T,帝人,繊維,
3402.T,東レ,繊維,
3405.T,クラレ,化学,
3407.T,旭化成,化学,
3436.T,ＳＵＭＣＯ,非鉄・金属,半導体部材・シリコン
3659.T,ネクソン,サービス,メタバース・Web3・ゲーム
3861.T,王子ホールディングス,パルプ・紙,
4004.T,レゾナック・ホールディングス,化学,半導体部材・シリコン
4005.T,住友化学,化学,ペロブスカイト太陽電池
4021.T,日産化学,化学,
4042.T,東ソー,化学,半導体部材・シリコン
4043.T,トクヤマ,化学,
4061.T,デンカ,化学,
4063.T,信越化学工業,化学,半導体部材・シリコン
4151.T,協和キリン,医薬品,
4183.T,三井化学,化学,半導体部材・シリコン
4188.T,三菱ケミカルグループ,化学,半導体部材・シリコン
4208.T,ＵＢＥ,化学,
4307.T,野村総合研究所,サービス,SaaS・クラウド・DX
4324.T,電通グループ,サービス,
4385.T,メルカリ,サービス,
4452.T,花王,化学,
4502.T,武田薬品工業,医薬品,高配当・バリュー
4503.T,アステラス製薬,医薬品,ディフェンシブ・食品
4506.T,住友ファーマ,医薬品,
4507.T,塩野義製薬,医薬品,
4519.T,中外製薬,医薬品,ディフェンシブ・食品
4523.T,エーザイ,医薬品,
4543.T,テルモ,精密機器,
4568.T,第一三共,医薬品,
4578.T,大塚ホールディングス,医薬品,
4661.T,オリエンタルランド,サービス,インバウンド・旅行
4689.T,ＬＩＮＥヤフー,サービス,
